SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
988,09.MEMORY.domC.rationale,3 KATALÓGUS,09 MEMORY,-,sport terület,indoklás,mind,"Beadott játékrendszer, edzői instrukció, koreográfia pontos felidézése.",,,packages/shared/src/modules.ts
989,09.MEMORY.construct.working_memory,3 KATALÓGUS,09 MEMORY,-,képességlista,képesség,mind,Munkamemória,,,packages/shared/src/modules.ts
990,09.MEMORY.construct.visual_memory,3 KATALÓGUS,09 MEMORY,-,képességlista,képesség,mind,Vizuális memória,,,packages/shared/src/modules.ts
991,09.MEMORY.construct.auditory_memory,3 KATALÓGUS,09 MEMORY,-,képességlista,képesség,mind,Hallási memória,,,packages/shared/src/modules.ts
992,09.MEMORY.construct.recall_after_distraction,3 KATALÓGUS,09 MEMORY,-,képességlista,képesség,mind,Felidézés zavarás után,,,packages/shared/src/modules.ts
993,09.MEMORY.construct.command_interpretation,3 KATALÓGUS,09 MEMORY,-,képességlista,képesség,mind,Utasításértelmezés,,,packages/shared/src/modules.ts
994,10.COMMAND.subtitle,3 KATALÓGUS,10 COMMAND,-,kártya,alcím,mind,"Csapat, problémamegoldás & vezetés",,,packages/shared/src/modules.ts
995,10.COMMAND.summary,3 KATALÓGUS,10 COMMAND,-,kártya,összefoglaló,mind,"Több résztvevő, megosztott információ, közös terv. Egy kör vezető nélkül, egy kör kijelölt vezetővel. Csak kommunikációval oldható meg.",,,packages/shared/src/modules.ts
996,10.COMMAND.domA.headline,3 KATALÓGUS,10 COMMAND,-,védelmi terület,fejléc,mind,Parancsnoki és csapatfeladat,,,packages/shared/src/modules.ts
997,10.COMMAND.domA.rationale,3 KATALÓGUS,10 COMMAND,-,védelmi terület,indoklás,mind,"Tisztjelölt-kiválasztás bevált formátumának absztrakt VR változata: vezető nélküli csoportfeladat, majd kijelölt parancsnokkal futó kör.",,,packages/shared/src/modules.ts
998,10.COMMAND.domB.headline,3 KATALÓGUS,10 COMMAND,-,munka terület,fejléc,mind,Vezetői assessment center,,,packages/shared/src/modules.ts
999,10.COMMAND.domB.rationale,3 KATALÓGUS,10 COMMAND,-,munka terület,indoklás,mind,"Klasszikus AC-gyakorlat mérhető formában: ki oszt meg információt, kinek a javaslatát fogadja el a csapat, ki delegál, ki blokkol.",,,packages/shared/src/modules.ts
1000,10.COMMAND.domC.headline,3 KATALÓGUS,10 COMMAND,-,sport terület,fejléc,mind,Csapatkohézió és pályán belüli vezetés,,,packages/shared/src/modules.ts
1001,10.COMMAND.domC.rationale,3 KATALÓGUS,10 COMMAND,-,sport terület,indoklás,mind,"Ki a csapatkapitány-típus? A modul azt méri, ki hoz döntést információhiányban és kire hallgat a csapat - nem azt, ki beszél a legtöbbet.",,,packages/shared/src/modules.ts
1002,10.COMMAND.construct.team_communication,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Csapatkommunikáció,,,packages/shared/src/modules.ts
1003,10.COMMAND.construct.cooperative_problem_solving,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Együttműködő problémamegoldás,,,packages/shared/src/modules.ts
1004,10.COMMAND.construct.leadership_potential,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Vezetői viselkedés,,,packages/shared/src/modules.ts
1005,10.COMMAND.construct.delegation,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Delegálás,,,packages/shared/src/modules.ts
1006,10.COMMAND.construct.resource_allocation,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Erőforrás-elosztás,,,packages/shared/src/modules.ts
1007,10.COMMAND.construct.prioritisation,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Prioritáskezelés,,,packages/shared/src/modules.ts
1008,10.COMMAND.construct.information_sharing,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Információmegosztás,,,packages/shared/src/modules.ts
1009,10.COMMAND.construct.conflict_management,3 KATALÓGUS,10 COMMAND,-,képességlista,képesség,mind,Konfliktuskezelés,,,packages/shared/src/modules.ts
1010,10.COMMAND.varA.label,3 KATALÓGUS,10 COMMAND,A,változatválasztó,név,mind,Alap,,,packages/shared/src/modules.ts
1011,10.COMMAND.varA.subtitle,3 KATALÓGUS,10 COMMAND,A,változatválasztó,alcím,mind,"Közös tábla, titkos kártyák",,,packages/shared/src/modules.ts
1012,10.COMMAND.varA.summary,3 KATALÓGUS,10 COMMAND,A,változatválasztó,leírás,mind,"Vízszintes logisztikai tábla; az információaszimmetria szöveges: mindenki két olyan javítást ismer, amit a többiek nem. Bármely platformon játszható.",,,packages/shared/src/modules.ts
1013,10.COMMAND.varB.label,3 KATALÓGUS,10 COMMAND,B,változatválasztó,név,mind,Térbeli,,,packages/shared/src/modules.ts
1014,10.COMMAND.varB.subtitle,3 KATALÓGUS,10 COMMAND,B,változatválasztó,alcím,mind,"Amit onnan látsz, ahol állsz",,,packages/shared/src/modules.ts
1015,10.COMMAND.varB.summary,3 KATALÓGUS,10 COMMAND,B,változatválasztó,leírás,mind,"Egy lebegő térbeli szerkezetet mindenki más szögből lát, és a blokkok takarják egymást — senki nem látja az egészet. Az információaszimmetria itt nem szöveg, hanem nézőpont.",,,packages/shared/src/modules.ts
1016,11.ANTICIPATE.subtitle,3 KATALÓGUS,11 ANTICIPATE,-,kártya,alcím,mind,Időzítés & előrejelzés,,,packages/shared/src/modules.ts
1017,11.ANTICIPATE.summary,3 KATALÓGUS,11 ANTICIPATE,-,kártya,összefoglaló,mind,"Mozgó objektum takarásba kerül; a felhasználónak akkor kell reagálnia, amikor a becsapódási pontot elérné. Koincidencia-időzítés és időbeli okklúzió.",,,packages/shared/src/modules.ts
1018,11.ANTICIPATE.domA.headline,3 KATALÓGUS,11 ANTICIPATE,-,védelmi terület,fejléc,mind,Vezetési és célzási időzítés,,,packages/shared/src/modules.ts
1019,11.ANTICIPATE.domA.rationale,3 KATALÓGUS,11 ANTICIPATE,-,védelmi terület,indoklás,mind,"Mozgó cél előretartása, járműtávolság-becslés, konvoj-követés.",,,packages/shared/src/modules.ts
1020,11.ANTICIPATE.domB.headline,3 KATALÓGUS,11 ANTICIPATE,-,munka terület,fejléc,mind,Ütközési idő becslése vezetés közben,,,packages/shared/src/modules.ts
1021,11.ANTICIPATE.domB.rationale,3 KATALÓGUS,11 ANTICIPATE,-,munka terület,indoklás,mind,"Előzés, kanyarodás, féktávolság: a baleseti kockázat egyik legjobban mérhető percepciós összetevője. Daru- és targoncakezelésnél is közvetlenül releváns.",,,packages/shared/src/modules.ts
1022,11.ANTICIPATE.domC.headline,3 KATALÓGUS,11 ANTICIPATE,-,sport terület,fejléc,mind,Labdaérkezés időzítése,,,packages/shared/src/modules.ts
1023,11.ANTICIPATE.domC.rationale,3 KATALÓGUS,11 ANTICIPATE,-,sport terület,indoklás,mind,"Ütő-, dobó- és elkapósportok legfontosabb percepciós képessége. A takarásos változat pont azt méri, amit a valóság kikényszerít: a labda utolsó szakaszát már nem látjuk.",,,packages/shared/src/modules.ts
1024,11.ANTICIPATE.construct.coincidence_timing,3 KATALÓGUS,11 ANTICIPATE,-,képességlista,képesség,mind,Koincidencia-időzítés,,,packages/shared/src/modules.ts
1025,11.ANTICIPATE.construct.time_to_contact,3 KATALÓGUS,11 ANTICIPATE,-,képességlista,képesség,mind,Ütközési idő becslése,,,packages/shared/src/modules.ts
1026,11.ANTICIPATE.construct.motion_extrapolation,3 KATALÓGUS,11 ANTICIPATE,-,képességlista,képesség,mind,Mozgás-extrapoláció,,,packages/shared/src/modules.ts
1027,11.ANTICIPATE.construct.temporal_prediction,3 KATALÓGUS,11 ANTICIPATE,-,képességlista,képesség,mind,Időbeli előrejelzés,,,packages/shared/src/modules.ts
1028,11.ANTICIPATE.construct.velocity_discrimination,3 KATALÓGUS,11 ANTICIPATE,-,képességlista,képesség,mind,Sebesség-megkülönböztetés,,,packages/shared/src/modules.ts
1029,11.ANTICIPATE.varA.label,3 KATALÓGUS,11 ANTICIPATE,A,változatválasztó,név,mind,Alap,,,packages/shared/src/modules.ts
1030,11.ANTICIPATE.varA.subtitle,3 KATALÓGUS,11 ANTICIPATE,A,változatválasztó,alcím,mind,Oldalirányú koincidencia-időzítés,,,packages/shared/src/modules.ts
1031,11.ANTICIPATE.varA.summary,3 KATALÓGUS,11 ANTICIPATE,A,változatválasztó,leírás,mind,"A gömb sínen halad a cél felé, takarással. Ez a Bassin-féle készülék elrendezése, minden platformon fut, és a CE/VE/AE hármassal közvetlenül összevethető a szakirodalommal.",,,packages/shared/src/modules.ts
1032,11.ANTICIPATE.varB.label,3 KATALÓGUS,11 ANTICIPATE,B,változatválasztó,név,mind,Térbeli,,,packages/shared/src/modules.ts
1033,11.ANTICIPATE.varB.subtitle,3 KATALÓGUS,11 ANTICIPATE,B,változatválasztó,alcím,mind,Feléd érkező tárgy időzítése,,,packages/shared/src/modules.ts
1034,11.ANTICIPATE.varB.summary,3 KATALÓGUS,11 ANTICIPATE,B,változatválasztó,leírás,mind,"A tárgy feléd repül, és az érkezését az optikai tágulásból kell megítélned. Külön méri, hogy tau-t használsz-e vagy méret-heurisztikát — ez a sportbeli szakértelem egyik legjobban dokumentált jele.",,,packages/shared/src/modules.ts
1035,12.FIELD.subtitle,3 KATALÓGUS,12 FIELD,-,kártya,alcím,mind,Hasznos látómező & dinamikus látásélesség,,,packages/shared/src/modules.ts
1036,12.FIELD.summary,3 KATALÓGUS,12 FIELD,-,kártya,összefoglaló,mind,"Központi feladat mellett rövid felvillanású perifériás inger helyének azonosítása, növekvő excentricitáson és zavaró háttérrel. UFOV-logika VR-ben.",,,packages/shared/src/modules.ts
1037,12.FIELD.domA.headline,3 KATALÓGUS,12 FIELD,-,védelmi terület,fejléc,mind,Perifériás helyzetfelismerés,,,packages/shared/src/modules.ts
1038,12.FIELD.domA.rationale,3 KATALÓGUS,12 FIELD,-,védelmi terület,indoklás,mind,A látómező stressz alatti beszűkülése közvetlenül mérhető és kiképzéssel javítható.,,,packages/shared/src/modules.ts
1039,12.FIELD.domB.headline,3 KATALÓGUS,12 FIELD,-,munka terület,fejléc,mind,Vezetői látómező,,,packages/shared/src/modules.ts
1040,12.FIELD.domB.rationale,3 KATALÓGUS,12 FIELD,-,munka terület,indoklás,mind,"A UFOV a közúti balesetek egyik legerősebb, validált percepciós előrejelzője, különösen idősebb és fáradt vezetőknél.",,,packages/shared/src/modules.ts
1041,12.FIELD.domC.headline,3 KATALÓGUS,12 FIELD,-,sport terület,fejléc,mind,Pályakép szélessége,,,packages/shared/src/modules.ts
1042,12.FIELD.domC.rationale,3 KATALÓGUS,12 FIELD,-,sport terület,indoklás,mind,"A ""jó játéklátás"" nagyrészt hasznos látómező: mennyit vesz észre a periférián anélkül, hogy a labdáról levenné a tekintetét.",,,packages/shared/src/modules.ts
1043,12.FIELD.construct.useful_field_of_view,3 KATALÓGUS,12 FIELD,-,képességlista,képesség,mind,Hasznos látómező,,,packages/shared/src/modules.ts
1044,12.FIELD.construct.dynamic_visual_acuity,3 KATALÓGUS,12 FIELD,-,képességlista,képesség,mind,Dinamikus látásélesség,,,packages/shared/src/modules.ts
1045,12.FIELD.construct.peripheral_perception,3 KATALÓGUS,12 FIELD,-,képességlista,képesség,mind,Perifériás észlelés,,,packages/shared/src/modules.ts
1046,12.FIELD.construct.divided_attention,3 KATALÓGUS,12 FIELD,-,képességlista,képesség,mind,Megosztott figyelem,,,packages/shared/src/modules.ts
1047,12.FIELD.construct.attentional_field_shrinkage,3 KATALÓGUS,12 FIELD,-,képességlista,képesség,mind,Látómező-szűkülés terhelés alatt,,,packages/shared/src/modules.ts
1048,13.STEADY.subtitle,3 KATALÓGUS,13 STEADY,-,kártya,alcím,mind,Poszturális stabilitás & kéznyugalom,,,packages/shared/src/modules.ts
1049,13.STEADY.summary,3 KATALÓGUS,13 STEADY,-,kártya,összefoglaló,mind,"A headset és a kontrollerek 6DoF adatából számított testlengés és kéztremor. Nyitott/csukott szem, egy lábon állás, vizuális perturbáció, célon tartás.",,,packages/shared/src/modules.ts
1050,13.STEADY.domA.headline,3 KATALÓGUS,13 STEADY,-,védelmi terület,fejléc,mind,Terhelés alatti testkontroll,,,packages/shared/src/modules.ts
1051,13.STEADY.domA.rationale,3 KATALÓGUS,13 STEADY,-,védelmi terület,indoklás,mind,"Lövészstabilitás, terhelt menet utáni egyensúly, fejsérülés utáni visszatérés szűrése.",,,packages/shared/src/modules.ts
1052,13.STEADY.domB.headline,3 KATALÓGUS,13 STEADY,-,munka terület,fejléc,mind,Magasban végzett és finommunka,,,packages/shared/src/modules.ts
1053,13.STEADY.domB.rationale,3 KATALÓGUS,13 STEADY,-,munka terület,indoklás,mind,"Állványos munka, sebészi kéznyugalom, fogászat, mikroelektronika. Az objektív tremor-mérés eddig külön eszközt igényelt, itt a headset adja.",,,packages/shared/src/modules.ts
1054,13.STEADY.domC.headline,3 KATALÓGUS,13 STEADY,-,sport terület,fejléc,mind,Statikus és dinamikus egyensúly,,,packages/shared/src/modules.ts
1055,13.STEADY.domC.rationale,3 KATALÓGUS,13 STEADY,-,sport terület,indoklás,mind,"Egyensúly-domináns sportágak alapszűrése, és - fontos alkalmazás - agyrázkódás utáni visszatérési protokoll objektív mérőszáma.",,,packages/shared/src/modules.ts
1056,13.STEADY.construct.postural_stability,3 KATALÓGUS,13 STEADY,-,képességlista,képesség,mind,Poszturális stabilitás,,,packages/shared/src/modules.ts
1057,13.STEADY.construct.balance,3 KATALÓGUS,13 STEADY,-,képességlista,képesség,mind,Egyensúly,,,packages/shared/src/modules.ts
1058,13.STEADY.construct.hand_steadiness,3 KATALÓGUS,13 STEADY,-,képességlista,képesség,mind,Kéznyugalom / tremor,,,packages/shared/src/modules.ts
1059,13.STEADY.construct.visual_dependence,3 KATALÓGUS,13 STEADY,-,képességlista,képesség,mind,Vizuális függés,,,packages/shared/src/modules.ts
1060,13.STEADY.construct.sensorimotor_integration,3 KATALÓGUS,13 STEADY,-,képességlista,képesség,mind,Szenzomotoros integráció,,,packages/shared/src/modules.ts
1061,14.RHYTHM.subtitle,3 KATALÓGUS,14 RHYTHM,-,kártya,alcím,mind,Motoros időzítés & ritmusszinkronizáció,,,packages/shared/src/modules.ts
1062,14.RHYTHM.summary,3 KATALÓGUS,14 RHYTHM,-,kártya,összefoglaló,mind,"Ütemhez igazodó mozgás, majd az ütem elnémítása után a tempó tartása. Szinkronizációs-folytatásos paradigma, két kézzel és keresztritmussal is.",,,packages/shared/src/modules.ts
1063,14.RHYTHM.domA.rationale,3 KATALÓGUS,14 RHYTHM,-,védelmi terület,indoklás,mind,"Nem elsődleges védelmi konstruktum; adatot gyűjtünk, de nem jelenítjük meg alapból.",,,packages/shared/src/modules.ts
1064,14.RHYTHM.domB.headline,3 KATALÓGUS,14 RHYTHM,-,munka terület,fejléc,mind,Ciklikus munkavégzés üteme,,,packages/shared/src/modules.ts
1065,14.RHYTHM.domB.rationale,3 KATALÓGUS,14 RHYTHM,-,munka terület,indoklás,mind,"Gyártósori ütemtartás, zenei és előadóművészi pályák, ütemezett kétkezes munka.",,,packages/shared/src/modules.ts
1066,14.RHYTHM.domC.headline,3 KATALÓGUS,14 RHYTHM,-,sport terület,fejléc,mind,Mozgásritmus és ciklustartás,,,packages/shared/src/modules.ts
1067,14.RHYTHM.domC.rationale,3 KATALÓGUS,14 RHYTHM,-,sport terület,indoklás,mind,"Az evezés, úszás, futás, gátfutás gazdaságosságát a ritmus stabilitása határozza meg; a szinkron sportokban pedig ez maga a teljesítmény.",,,packages/shared/src/modules.ts
1068,14.RHYTHM.construct.motor_timing,3 KATALÓGUS,14 RHYTHM,-,képességlista,képesség,mind,Motoros időzítés,,,packages/shared/src/modules.ts
1069,14.RHYTHM.construct.rhythmic_synchronisation,3 KATALÓGUS,14 RHYTHM,-,képességlista,képesség,mind,Ritmusszinkronizáció,,,packages/shared/src/modules.ts
1070,14.RHYTHM.construct.internal_clock_stability,3 KATALÓGUS,14 RHYTHM,-,képességlista,képesség,mind,Belső óra stabilitása,,,packages/shared/src/modules.ts
1071,14.RHYTHM.construct.bimanual_coordination,3 KATALÓGUS,14 RHYTHM,-,képességlista,képesség,mind,Kétkezes koordináció,,,packages/shared/src/modules.ts
1072,14.RHYTHM.construct.tempo_adaptation,3 KATALÓGUS,14 RHYTHM,-,képességlista,képesség,mind,Tempóváltás-adaptáció,,,packages/shared/src/modules.ts
1073,15.ADAPT.subtitle,3 KATALÓGUS,15 ADAPT,-,kártya,alcím,mind,Mozgástanulási ráta & vizuomotoros adaptáció,,,packages/shared/src/modules.ts
1074,15.ADAPT.summary,3 KATALÓGUS,15 ADAPT,-,kártya,összefoglaló,mind,"A kéz és a látott kurzor közé rejtett elforgatás kerül. Mérjük, milyen gyorsan tanul újra a rendszer, és mekkora az utóhatás a torzítás megszűnése után.",,,packages/shared/src/modules.ts
1075,15.ADAPT.domA.headline,3 KATALÓGUS,15 ADAPT,-,védelmi terület,fejléc,mind,Új eszközre való átállás sebessége,,,packages/shared/src/modules.ts
1076,15.ADAPT.domA.rationale,3 KATALÓGUS,15 ADAPT,-,védelmi terület,indoklás,mind,"Új fegyverrendszer, új kezelőfelület, éjjellátó okozta perceptuális eltolódás megtanulása.",,,packages/shared/src/modules.ts
1077,15.ADAPT.domB.headline,3 KATALÓGUS,15 ADAPT,-,munka terület,fejléc,mind,Betaníthatóság mérőszáma,,,packages/shared/src/modules.ts
1078,15.ADAPT.domB.rationale,3 KATALÓGUS,15 ADAPT,-,munka terület,indoklás,mind,"A legtöbb alkalmassági teszt a pillanatnyi szintet méri. Ez azt méri, milyen gyorsan javul - pályaorientációban és betanításnál ez a fontosabb kérdés.",,,packages/shared/src/modules.ts
1079,15.ADAPT.domC.headline,3 KATALÓGUS,15 ADAPT,-,sport terület,fejléc,mind,Tanulási potenciál,,,packages/shared/src/modules.ts
1080,15.ADAPT.domC.rationale,3 KATALÓGUS,15 ADAPT,-,sport terület,indoklás,mind,Tehetségazonosításban a jelenlegi teljesítménynél többet mond a tanulási ráta: ki javul gyorsabban ugyanannyi ismétlésből.,,,packages/shared/src/modules.ts
1081,15.ADAPT.construct.motor_learning_rate,3 KATALÓGUS,15 ADAPT,-,képességlista,képesség,mind,Mozgástanulási ráta,,,packages/shared/src/modules.ts
1082,15.ADAPT.construct.visuomotor_adaptation,3 KATALÓGUS,15 ADAPT,-,képességlista,képesség,mind,Vizuomotoros adaptáció,,,packages/shared/src/modules.ts
1083,15.ADAPT.construct.aftereffect_magnitude,3 KATALÓGUS,15 ADAPT,-,képességlista,képesség,mind,Utóhatás nagysága,,,packages/shared/src/modules.ts
1084,15.ADAPT.construct.savings,3 KATALÓGUS,15 ADAPT,-,képességlista,képesség,mind,Újratanulási előny (savings),,,packages/shared/src/modules.ts
1085,15.ADAPT.construct.explicit_implicit_ratio,3 KATALÓGUS,15 ADAPT,-,képességlista,képesség,mind,Explicit/implicit tanulás aránya,,,packages/shared/src/modules.ts
1086,16.HANDS.subtitle,3 KATALÓGUS,16 HANDS,-,kártya,alcím,mind,Finom manuális ügyesség,,,packages/shared/src/modules.ts
1087,16.HANDS.summary,3 KATALÓGUS,16 HANDS,-,kártya,összefoglaló,mind,"Apró elemek pontos megfogása, áthelyezése, szűk pályán való átvezetése két kézzel, idő- és érintéshiba-méréssel. Pegboard-logika VR-ben.",,,packages/shared/src/modules.ts
1088,16.HANDS.domA.headline,3 KATALÓGUS,16 HANDS,-,védelmi terület,fejléc,mind,Műszaki és fegyverkezelési kézügyesség,,,packages/shared/src/modules.ts
1089,16.HANDS.domA.rationale,3 KATALÓGUS,16 HANDS,-,védelmi terület,indoklás,mind,"Szerelés, hibaelhárítás, kesztyűben végzett finommunka.",,,packages/shared/src/modules.ts
1090,16.HANDS.domB.headline,3 KATALÓGUS,16 HANDS,-,munka terület,fejléc,mind,Kézügyességi alkalmasság,,,packages/shared/src/modules.ts
1091,16.HANDS.domB.rationale,3 KATALÓGUS,16 HANDS,-,munka terület,indoklás,mind,"A pegboard-típusú tesztek a manuális szakmák bevált szűrőeszközei; VR-ben eszközkopás nélkül, automatikus méréssel és nagyobb feladatválasztékkal.",,,packages/shared/src/modules.ts
1092,16.HANDS.domC.headline,3 KATALÓGUS,16 HANDS,-,sport terület,fejléc,mind,Kézprecizitás technikai sportágakban,,,packages/shared/src/modules.ts
1093,16.HANDS.domC.rationale,3 KATALÓGUS,16 HANDS,-,sport terület,indoklás,mind,"Sportlövészet, íjászat, biliárd, e-sport: a mikromozgás minősége dönt.",,,packages/shared/src/modules.ts
1094,16.HANDS.construct.manual_dexterity,3 KATALÓGUS,16 HANDS,-,képességlista,képesség,mind,Manuális ügyesség,,,packages/shared/src/modules.ts
1095,16.HANDS.construct.fine_motor_accuracy,3 KATALÓGUS,16 HANDS,-,képességlista,képesség,mind,Finommotoros pontosság,,,packages/shared/src/modules.ts
1096,16.HANDS.construct.bimanual_coordination,3 KATALÓGUS,16 HANDS,-,képességlista,képesség,mind,Kétkezes koordináció,,,packages/shared/src/modules.ts
1097,16.HANDS.construct.grip_precision,3 KATALÓGUS,16 HANDS,-,képességlista,képesség,mind,Fogásprecizitás,,,packages/shared/src/modules.ts
1098,16.HANDS.construct.movement_smoothness,3 KATALÓGUS,16 HANDS,-,képességlista,képesség,mind,Mozgássimaság,,,packages/shared/src/modules.ts
1099,17.RISK.subtitle,3 KATALÓGUS,17 RISK,-,kártya,alcím,mind,Kockázatvállalás & döntési stílus,,,packages/shared/src/modules.ts
1100,17.RISK.summary,3 KATALÓGUS,17 RISK,-,kártya,összefoglaló,mind,"Ismételt nyereség-veszteség döntések növekvő tétekkel, tanulható valószínűségekkel. Nem személyiségteszt: a megfigyelt döntési viselkedést írja le.",,,packages/shared/src/modules.ts
1101,17.RISK.domA.headline,3 KATALÓGUS,17 RISK,-,védelmi terület,fejléc,mind,Kockázati profil műveleti döntésekben,,,packages/shared/src/modules.ts
1102,17.RISK.domA.rationale,3 KATALÓGUS,17 RISK,-,védelmi terület,indoklás,mind,Túl konzervatív és túl vakmerő döntéshozó egyaránt kockázat - a szélsőségek érdekesek.,,,packages/shared/src/modules.ts
1103,17.RISK.domB.headline,3 KATALÓGUS,17 RISK,-,munka terület,fejléc,mind,Biztonsági és pénzügyi kockázatkezelés,,,packages/shared/src/modules.ts
1104,17.RISK.domB.rationale,3 KATALÓGUS,17 RISK,-,munka terület,indoklás,mind,Munkabiztonsági szabályszegés és pénzügyi kockázatvállalás egyaránt visszavezethető a visszajelzésből való tanulás mintázatára.,,,packages/shared/src/modules.ts
1105,17.RISK.domC.headline,3 KATALÓGUS,17 RISK,-,sport terület,fejléc,mind,Taktikai kockázatvállalás,,,packages/shared/src/modules.ts
1106,17.RISK.domC.rationale,3 KATALÓGUS,17 RISK,-,sport terület,indoklás,mind,Támad vagy biztosít? Az extrémsportokban és a versenytaktikában a kockázati profil sportágcsoportot és szerepkört is elkülönít.,,,packages/shared/src/modules.ts
1107,17.RISK.construct.risk_taking_behaviour,3 KATALÓGUS,17 RISK,-,képességlista,képesség,mind,Kockázatvállalási viselkedés,,,packages/shared/src/modules.ts
1108,17.RISK.construct.risk_assessment,3 KATALÓGUS,17 RISK,-,képességlista,képesség,mind,Kockázatértékelés,,,packages/shared/src/modules.ts
1109,17.RISK.construct.decision_under_uncertainty,3 KATALÓGUS,17 RISK,-,képességlista,képesség,mind,Döntés bizonytalanságban,,,packages/shared/src/modules.ts
1110,17.RISK.construct.feedback_learning,3 KATALÓGUS,17 RISK,-,képességlista,képesség,mind,Visszajelzés alapú tanulás,,,packages/shared/src/modules.ts
1111,17.RISK.construct.loss_chasing,3 KATALÓGUS,17 RISK,-,képességlista,képesség,mind,Veszteségkövetés,,,packages/shared/src/modules.ts
1112,18.PROTOCOL.subtitle,3 KATALÓGUS,18 PROTOCOL,-,kártya,alcím,mind,Eljárásrendi fegyelem & ellenőrzőlista,,,packages/shared/src/modules.ts
1113,18.PROTOCOL.summary,3 KATALÓGUS,18 PROTOCOL,-,kártya,összefoglaló,mind,"Több lépéses eljárás pontos, sorrendhelyes végrehajtása - időnyomás, megszakítás és menet közbeni eljárásmódosítás mellett. A kihagyott lépés a fő mutató.",,,packages/shared/src/modules.ts
1114,18.PROTOCOL.domA.headline,3 KATALÓGUS,18 PROTOCOL,-,védelmi terület,fejléc,mind,Eljárásrendi fegyelem,,,packages/shared/src/modules.ts
1115,18.PROTOCOL.domA.rationale,3 KATALÓGUS,18 PROTOCOL,-,védelmi terület,indoklás,mind,"Fegyverellenőrzés, rádióeljárás, ellenőrzőpont-protokoll pontos végrehajtása.",,,packages/shared/src/modules.ts
1116,18.PROTOCOL.domB.headline,3 KATALÓGUS,18 PROTOCOL,-,munka terület,fejléc,mind,Protokollkövetés megszakítások közben,,,packages/shared/src/modules.ts
1117,18.PROTOCOL.domB.rationale,3 KATALÓGUS,18 PROTOCOL,-,munka terület,indoklás,mind,"A repülésben és az egészségügyben a súlyos hibák többsége kihagyott ellenőrzőlista-lépés megszakítás után. Ez a modul pontosan ezt méri, nem az elméleti tudást.",,,packages/shared/src/modules.ts
1118,18.PROTOCOL.domC.rationale,3 KATALÓGUS,18 PROTOCOL,-,sport terület,indoklás,mind,"Sportban a bemelegítési és versenyrutin-fegyelem közvetetten érintett, alapból nem jelenítjük meg.",,,packages/shared/src/modules.ts
1119,18.PROTOCOL.construct.procedural_compliance,3 KATALÓGUS,18 PROTOCOL,-,képességlista,képesség,mind,Eljáráskövetés,,,packages/shared/src/modules.ts
1120,18.PROTOCOL.construct.prospective_memory,3 KATALÓGUS,18 PROTOCOL,-,képességlista,képesség,mind,Prospektív memória,,,packages/shared/src/modules.ts
1121,18.PROTOCOL.construct.interruption_recovery,3 KATALÓGUS,18 PROTOCOL,-,képességlista,képesség,mind,Megszakítás utáni helyreállás,,,packages/shared/src/modules.ts
1122,18.PROTOCOL.construct.rule_retention,3 KATALÓGUS,18 PROTOCOL,-,képességlista,képesség,mind,Szabálymegtartás,,,packages/shared/src/modules.ts
1123,18.PROTOCOL.construct.sequence_memory,3 KATALÓGUS,18 PROTOCOL,-,képességlista,képesség,mind,Sorrendmemória,,,packages/shared/src/modules.ts
1124,19.INTENT.subtitle,3 KATALÓGUS,19 INTENT,-,kártya,alcím,mind,Mozgásolvasás & szándékfelismerés,,,packages/shared/src/modules.ts
1125,19.INTENT.summary,3 KATALÓGUS,19 INTENT,-,kártya,összefoglaló,mind,Absztrakt pontfény-alak (point-light figure) mozdulatot kezd; a mozdulat közben eltűnik. A feladat a szándék irányának megjóslása - beleértve a megtévesztést.,,,packages/shared/src/modules.ts
1126,19.INTENT.domA.headline,3 KATALÓGUS,19 INTENT,-,védelmi terület,fejléc,mind,Szándékfelismerés testtartásból,,,packages/shared/src/modules.ts
1127,19.INTENT.domA.rationale,3 KATALÓGUS,19 INTENT,-,védelmi terület,indoklás,mind,Ellenőrzőponton és tömegben a fenyegető szándék korai kinematikai jelei.,,,packages/shared/src/modules.ts
1128,19.INTENT.domB.headline,3 KATALÓGUS,19 INTENT,-,munka terület,fejléc,mind,Gyalogos-szándék előrejelzése,,,packages/shared/src/modules.ts
1129,19.INTENT.domB.rationale,3 KATALÓGUS,19 INTENT,-,munka terület,indoklás,mind,Vezetés közben a gyalogos lelépési szándékának korai felismerése.,,,packages/shared/src/modules.ts
1130,19.INTENT.domC.headline,3 KATALÓGUS,19 INTENT,-,sport terület,fejléc,mind,Ellenfélolvasás,,,packages/shared/src/modules.ts
